kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
convolution.1.sm_52.ptx 91 : 3136 22988 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 92 : 3136 122808 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 93 : 3136 98140 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 94 : 3136 23184 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 95 : 3136 123872 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 96 : 3136 98952 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 97 : 3136 22932 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 98 : 3136 123396 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 99 : 3136 98252 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 100 : 3136 22708 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 101 : 3136 123256 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 102 : 3136 98028 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 103 : 3136 23072 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 104 : 3136 123284 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 105 : 3136 97608 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 106 : 3136 23212 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 107 : 3136 123900 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 108 : 3136 98868 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 109 : 3136 23044 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 110 : 3136 123620 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 111 : 3136 98700 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 112 : 3136 22932 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 113 : 3136 123984 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 114 : 3136 98392 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 115 : 3136 22652 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 116 : 3136 122976 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 117 : 3136 98056 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 118 : 3136 22988 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 119 : 3136 122612 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 120 : 3136 97580 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 121 : 3136 23184 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 122 : 3136 122500 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 123 : 3136 97944 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 124 : 3136 23520 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 125 : 3136 123956 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 126 : 3136 98616 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 127 : 3136 22820 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 128 : 3136 123340 0 0 0 112 112 0 0 
convolution.1.sm_52.ptx 129 : 3136 98532 0 112 112 0 0 0 0 
convolution.1.sm_52.ptx 130 : 3136 22512 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 131 : 3136 123284 0 0 0 112 112 0 0 
