kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
convolution.1.sm_52.ptx 156 : 12544 944524 0 0 0 12544 448 0 0 
convolution.1.sm_52.ptx 155 : 12544 140868 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 154 : 12544 138432 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 153 : 12544 103376 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 152 : 12544 151368 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 151 : 12544 102256 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 150 : 12544 506660 0 448 448 0 0 0 0 
convolution.1.sm_52.ptx 149 : 12544 645260 0 0 0 448 448 0 0 
convolution.1.sm_52.ptx 148 : 12544 94948 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 147 : 12544 486724 0 448 448 0 0 0 0 
convolution.1.sm_52.ptx 146 : 12544 624400 0 0 0 448 448 0 0 
convolution.1.sm_52.ptx 145 : 12544 94164 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 144 : 12544 447580 0 448 448 0 0 0 0 
convolution.1.sm_52.ptx 143 : 12544 581168 0 0 0 448 448 0 0 
convolution.1.sm_52.ptx 142 : 12544 92428 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 141 : 12544 442008 0 448 448 0 0 0 0 
convolution.1.sm_52.ptx 140 : 12544 577808 0 0 0 448 448 0 0 
convolution.1.sm_52.ptx 139 : 12544 94724 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 138 : 12544 419524 0 448 448 0 0 0 0 
convolution.1.sm_52.ptx 137 : 12544 524384 0 0 0 448 448 0 0 
convolution.1.sm_52.ptx 136 : 12544 93660 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 135 : 12544 393484 0 448 448 0 0 0 0 
convolution.1.sm_52.ptx 134 : 12544 496132 0 0 0 448 448 0 0 
convolution.1.sm_52.ptx 81 : 12544 392448 0 448 448 0 0 0 0 
convolution.1.sm_52.ptx 80 : 12544 497672 0 0 0 448 448 0 0 
convolution.1.sm_52.ptx 79 : 12544 91168 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 78 : 12544 1899100 0 0 0 448 448 0 0 
convolution.1.sm_52.ptx 77 : 12544 391300 0 448 448 0 0 0 0 
convolution.1.sm_52.ptx 76 : 12544 98448 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 74 : 16384 24864 0 0 0 0 0 0 448 
convolution.1.sm_52.ptx 73 : 16384 122016 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 72 : 16384 123904 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 71 : 16384 119552 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 70 : 16384 117888 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 69 : 16384 120640 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 68 : 16384 118848 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 67 : 16384 117248 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 66 : 16384 99392 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 57 : 15376 5200028 0 0 0 15376 496 0 0 
convolution.1.sm_52.ptx 65 : 16384 762208 0 512 512 0 0 0 0 
convolution.1.sm_52.ptx 64 : 16384 176000 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 56 : 15376 185988 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 55 : 15376 189184 0 0 0 0 0 0 0 
convolution.1.sm_52.ptx 63 : 16384 129920 0 0 0 0 0 0 0 
